,srcDistrictName,Number of Households issue Job Card Schedule Castes (SC),Number of Households issue Job Card Others,Total number of Households issue Job Card,Number of person days generated Scheduled Caste (SCs),Total number of person days generated,Families completed 100days Scheduled Caste (SCs),Families completed 100days Others,Total Families completed 100 days,YearCode
45624,ri bhoi,0,0,58,0,0,0,0,0,2014
45625,khasi hills,0,0,28,0,0,0,0,0,2015
45626,garo hills,0,1,52,0,4332,0,0,97,2015
45627,garo hills,0,0,2,0,0,0,0,0,2016
45628,garo hills,0,6,159,0,10869,0,0,1,2016
45629,garo hills,0,0,73,0,6278,0,0,0,2014
45630,garo hills,0,751,754,0,40187,0,1,1,2020
45631,jaintia hills,0,8,325,0,16977,0,0,0,2014
45632,garo hills,0,0,0,0,0,0,0,0,2016
45633,khasi hills,0,0,100,0,9037,0,0,0,2021
45634,khasi hills,0,0,16,0,0,0,0,0,2017
45635,garo hills,0,0,40,0,4000,0,0,40,2021
45636,garo hills,0,1,65,0,6240,0,0,0,2017
45637,garo hills,0,1,75,0,6037,0,0,1,2017
45638,garo hills,0,0,56,0,3858,0,0,0,2014
45639,garo hills,0,0,0,0,0,0,0,0,2021
45640,garo hills,0,6,104,0,9822,0,6,85,2021
45641,jaintia hills,0,1,78,0,1105,0,0,0,2015
45642,garo hills,0,0,244,0,23169,0,0,155,2018
45643,khasi hills,0,0,384,0,29291,0,0,0,2020
45644,jaintia hills,0,0,22,0,0,0,0,0,2017
45645,garo hills,0,1,50,0,4600,0,1,46,2019
45646,ri bhoi,0,0,94,0,0,0,0,0,2014
45647,khasi hills,0,0,160,0,10953,0,0,26,2020
45648,garo hills,0,1,41,0,2975,0,0,1,2018
45649,ri bhoi,0,0,73,0,3804,0,0,0,2015
45650,garo hills,0,0,39,0,3900,0,0,39,2017
45651,garo hills,0,324,324,0,19328,0,0,0,2015
45652,garo hills,0,1,30,0,2600,0,1,26,2021
45653,garo hills,0,0,27,0,2700,0,0,27,2016
45654,ri bhoi,0,0,82,0,7668,0,0,63,2017
45655,jaintia hills,0,0,80,0,6007,0,0,14,2020
45656,khasi hills,0,0,14,0,1400,0,0,14,2020
45657,garo hills,0,0,30,0,2249,0,0,6,2019
45658,garo hills,0,0,94,0,8860,0,0,69,2018
45659,khasi hills,0,0,83,0,4533,0,0,9,2019
45660,garo hills,0,4,64,0,2900,0,1,29,2017
45661,ri bhoi,0,0,63,0,2308,0,0,0,2019
45662,garo hills,0,0,43,0,2925,0,0,0,2015
45663,khasi hills,0,0,42,0,3088,0,0,16,2019
45664,jaintia hills,0,0,369,0,9020,0,0,0,2018
45665,ri bhoi,0,0,201,0,0,0,0,0,2020
45666,ri bhoi,0,1,60,0,5376,0,0,30,2017
45667,garo hills,1,5,309,100,23032,1,3,223,2020
45668,garo hills,0,11,116,0,10465,0,10,104,2021
45669,ri bhoi,95,104,234,0,0,0,0,0,2016
45670,garo hills,0,0,14,0,1261,0,0,0,2016
45671,garo hills,0,0,56,0,4700,0,0,47,2021
45672,garo hills,0,0,22,0,1500,0,0,0,2014
45673,jaintia hills,0,0,546,0,16241,0,0,12,2019
45674,garo hills,0,1,51,0,4740,0,0,46,2020
45675,garo hills,1,0,43,40,1720,0,0,0,2016
45676,khasi hills,0,0,13,0,800,0,0,0,2014
45677,garo hills,0,4,80,0,5600,0,3,56,2016
45678,khasi hills,0,0,19,0,98,0,0,0,2017
45679,khasi hills,0,0,90,0,2300,0,0,0,2014
45680,khasi hills,0,0,213,0,0,0,0,0,2015
45681,khasi hills,0,0,133,0,10976,0,0,77,2021
45682,garo hills,0,1,26,0,992,0,0,0,2017
45683,garo hills,0,0,0,0,0,0,0,0,2016
45684,garo hills,0,3,59,0,4170,0,0,0,2016
45685,garo hills,0,0,0,0,0,0,0,0,2019
45686,garo hills,0,0,31,0,3027,0,0,5,2017
45687,garo hills,0,0,72,0,4109,0,0,0,2015
45688,garo hills,0,0,14,0,196,0,0,0,2014
45689,khasi hills,0,0,70,0,6800,0,0,0,2015
45690,jaintia hills,0,0,391,0,4767,0,0,0,2017
45691,garo hills,0,0,82,0,7800,0,0,72,2018
45692,garo hills,0,0,50,0,4760,0,0,47,2021
45693,khasi hills,0,0,175,0,6588,0,0,0,2016
45694,khasi hills,0,0,62,0,5748,0,0,33,2017
45695,garo hills,0,0,58,0,4800,0,0,0,2021
45696,jaintia hills,0,0,73,0,5034,0,0,0,2020
45697,khasi hills,0,0,14,0,1399,0,0,13,2018
45698,jaintia hills,0,0,171,0,6432,0,0,0,2014
45699,garo hills,0,0,49,0,4277,0,0,4,2018
45700,khasi hills,0,1,18,0,0,0,0,0,2014
45701,jaintia hills,0,0,1263,0,2598,0,0,0,2020
45702,garo hills,0,0,110,0,4348,0,0,0,2014
45703,garo hills,0,1,40,0,3985,0,1,39,2017
45704,khasi hills,0,0,73,0,0,0,0,0,2016
45705,khasi hills,0,1,212,0,18577,0,1,166,2020
45706,garo hills,0,1,45,0,3676,0,1,23,2021
45707,garo hills,0,0,86,0,8600,0,0,86,2017
45708,ri bhoi,0,1,84,0,1711,0,0,0,2020
45709,garo hills,0,1,51,0,3430,0,0,0,2019
45710,garo hills,0,18,74,0,7140,0,0,0,2018
45711,ri bhoi,1,0,390,48,18095,0,0,0,2020
45712,khasi hills,0,1,122,0,9622,0,0,12,2021
45713,garo hills,0,16,56,0,5400,0,16,54,2021
45714,garo hills,0,3,95,0,8875,0,2,78,2020
45715,garo hills,0,2,114,0,8640,0,0,0,2017
45716,ri bhoi,1,3,212,50,12411,0,0,33,2020
45717,ri bhoi,0,0,91,0,7224,0,0,0,2016
45718,garo hills,0,404,404,0,10498,0,0,0,2014
45719,khasi hills,0,1,125,0,3644,0,0,0,2019
45720,jaintia hills,0,0,28,0,690,0,0,0,2016
45721,garo hills,0,0,85,0,5955,0,0,0,2021
45722,garo hills,0,0,59,0,5888,0,0,0,2020
45723,garo hills,0,0,103,0,4074,0,0,0,2018
45724,ri bhoi,0,16,41,0,1198,0,1,1,2019
45725,jaintia hills,0,0,25,0,2055,0,0,0,2014
45726,khasi hills,0,0,52,0,4440,0,0,0,2018
45727,garo hills,0,0,36,0,2040,0,0,0,2016
45728,jaintia hills,0,0,143,0,501,0,0,0,2018
45729,garo hills,0,0,60,0,2772,0,0,0,2014
45730,garo hills,0,14,66,0,5380,0,4,17,2017
45731,khasi hills,0,0,157,0,7832,0,0,9,2018
45732,garo hills,0,0,19,0,889,0,0,0,2018
45733,khasi hills,0,0,103,0,9593,0,0,39,2019
45734,khasi hills,0,0,315,0,22460,0,0,14,2017
45735,khasi hills,0,0,271,0,2463,0,0,0,2021
45736,jaintia hills,0,1,29,0,982,0,0,0,2018
45737,garo hills,0,0,77,0,7700,0,0,77,2021
45738,khasi hills,0,0,19,0,1600,0,0,14,2018
45739,ri bhoi,0,0,34,0,451,0,0,0,2014
45740,garo hills,0,1,37,0,3000,0,1,27,2017
45741,garo hills,0,1,173,0,9207,0,0,0,2019
45742,jaintia hills,0,0,168,0,6161,0,0,0,2021
45743,garo hills,0,509,509,0,40660,0,0,0,2019
45744,khasi hills,0,0,107,0,9157,0,0,58,2020
45745,garo hills,0,0,43,0,4119,0,0,0,2017
45746,khasi hills,0,0,25,0,2333,0,0,11,2019
45747,garo hills,0,1,47,0,3222,0,0,7,2016
45748,khasi hills,0,0,39,0,3501,0,0,35,2018
45749,garo hills,0,0,54,0,3445,0,0,0,2020
45750,garo hills,0,0,36,0,2861,0,0,0,2019
45751,garo hills,0,0,40,0,3870,0,0,33,2014
45752,garo hills,0,1,60,0,6000,0,1,60,2017
45753,garo hills,0,0,30,0,2735,0,0,27,2017
45754,ri bhoi,0,0,29,0,2207,0,0,12,2020
45755,garo hills,0,0,45,0,3700,0,0,37,2017
45756,garo hills,1,2,114,78,6682,0,0,0,2015
45757,garo hills,0,1,81,0,6590,0,0,1,2017
45758,khasi hills,0,0,28,0,1591,0,0,0,2014
45759,garo hills,0,0,13,0,1233,0,0,0,2021
45760,ri bhoi,4,1,61,186,3004,0,0,0,2019
45761,khasi hills,0,0,51,0,5100,0,0,51,2020
45762,garo hills,0,5,103,0,10300,0,5,103,2018
45763,garo hills,0,0,41,0,800,0,0,0,2016
45764,jaintia hills,0,5,112,0,2857,0,0,0,2015
45765,garo hills,0,1,105,0,8975,0,0,0,2015
45766,garo hills,0,0,90,0,7200,0,0,0,2019
45767,khasi hills,0,0,101,0,8700,0,0,7,2018
45768,khasi hills,0,2,70,0,1885,0,0,0,2020
45769,khasi hills,0,0,127,0,9504,0,0,8,2018
45770,khasi hills,0,0,23,0,787,0,0,0,2014
45771,khasi hills,0,0,39,0,3450,0,0,0,2021
45772,garo hills,0,1,37,0,3700,0,1,37,2016
45773,ri bhoi,0,3,90,0,6812,0,0,20,2018
45774,khasi hills,0,0,100,0,252,0,0,0,2020
45775,khasi hills,0,0,90,0,1977,0,0,0,2015
45776,khasi hills,0,1,1416,0,60702,0,0,85,2014
45777,ri bhoi,0,2,157,0,0,0,0,0,2021
45778,khasi hills,0,3,60,0,4043,0,2,19,2016
45779,jaintia hills,0,0,90,0,0,0,0,0,2014
45780,khasi hills,0,0,48,0,1976,0,0,0,2014
45781,garo hills,0,0,71,0,5390,0,0,0,2016
45782,khasi hills,0,0,46,0,948,0,0,0,2019
45783,garo hills,0,0,32,0,3072,0,0,0,2017
45784,khasi hills,0,0,22,0,0,0,0,0,2015
45785,khasi hills,0,0,105,0,4039,0,0,0,2021
45786,khasi hills,0,0,53,0,3540,0,0,0,2016
45787,ri bhoi,0,0,77,0,2336,0,0,0,2015
45788,khasi hills,0,0,67,0,6600,0,0,66,2019
45789,khasi hills,0,0,138,0,966,0,0,0,2014
45790,khasi hills,0,0,11,0,0,0,0,0,2020
45791,khasi hills,0,1,79,0,6586,0,0,0,2014
45792,khasi hills,0,0,84,0,2582,0,0,0,2016
45793,khasi hills,0,0,38,0,1714,0,0,0,2017
45794,garo hills,0,0,52,0,5192,0,0,51,2020
45795,khasi hills,0,0,32,0,0,0,0,0,2016
45796,ri bhoi,0,0,193,0,12081,0,0,3,2016
45797,khasi hills,0,0,146,0,8909,0,0,0,2017
45798,garo hills,0,0,54,0,1934,0,0,0,2014
45799,garo hills,0,1,37,0,520,0,0,0,2018
45800,garo hills,0,0,58,0,2855,0,0,0,2014
45801,jaintia hills,0,1,106,0,1151,0,0,0,2017
45802,garo hills,0,0,38,0,3546,0,0,33,2016
45803,jaintia hills,0,0,108,0,2658,0,0,0,2015
45804,garo hills,0,1,66,0,6267,0,0,46,2020
45805,garo hills,0,1,113,0,10547,0,1,85,2018
45806,garo hills,0,1,55,0,0,0,0,0,2014
45807,garo hills,0,0,69,0,3412,0,0,0,2016
45808,khasi hills,0,0,135,0,8015,0,0,1,2019
45809,garo hills,0,0,36,0,3383,0,0,28,2019
45810,khasi hills,0,0,17,0,896,0,0,8,2019
45811,garo hills,0,0,126,0,12537,0,0,63,2019
45812,khasi hills,0,0,212,0,2600,0,0,0,2016
45813,jaintia hills,0,0,121,0,0,0,0,0,2018
45814,garo hills,0,0,0,0,0,0,0,0,2016
45815,garo hills,0,0,53,0,2982,0,0,0,2015
45816,garo hills,0,161,161,0,6225,0,0,0,2017
45817,jaintia hills,0,0,266,0,2824,0,0,0,2017
45818,jaintia hills,0,0,1263,0,0,0,0,0,2017
45819,khasi hills,0,1,333,0,25911,0,0,13,2020
45820,jaintia hills,0,0,173,0,2023,0,0,0,2020
45821,garo hills,0,0,48,0,3312,0,0,0,2018
45822,khasi hills,0,0,37,0,1279,0,0,0,2020
45823,khasi hills,0,1,77,0,1774,0,0,0,2021
45824,khasi hills,0,0,337,0,24040,0,0,180,2018
45825,garo hills,0,0,86,0,5600,0,0,0,2016
45826,ri bhoi,0,0,44,0,2653,0,0,1,2018
45827,garo hills,0,2,45,0,2446,0,0,37,2014
45828,garo hills,0,3,90,0,8922,0,1,38,2021
45829,garo hills,0,4,112,0,7676,0,0,0,2016
45830,garo hills,0,2,23,0,420,0,0,0,2014
45831,khasi hills,0,0,58,0,1670,0,0,2,2021
45832,khasi hills,0,0,147,0,6131,0,0,12,2018
45833,khasi hills,0,0,52,0,2002,0,0,0,2014
45834,jaintia hills,0,0,34,0,0,0,0,0,2018
45835,garo hills,0,0,11,0,1044,0,0,9,2017
45836,garo hills,0,0,50,0,3708,0,0,7,2020
45837,khasi hills,0,0,0,0,0,0,0,0,2018
45838,garo hills,0,1,49,0,4570,0,1,36,2021
45839,garo hills,0,1,161,0,4501,0,0,0,2015
45840,khasi hills,0,0,162,0,13105,0,0,0,2021
45841,khasi hills,0,0,137,0,0,0,0,0,2015
45842,garo hills,0,5,73,0,7040,0,0,0,2019
45843,garo hills,0,1,109,0,10100,0,0,33,2017
45844,garo hills,0,5,82,0,8200,0,5,82,2021
45845,khasi hills,0,0,89,0,4030,0,0,8,2021
45846,khasi hills,0,0,39,0,1873,0,0,17,2018
45847,khasi hills,0,0,68,0,9,0,0,0,2018
45848,garo hills,0,1,44,0,3460,0,1,30,2019
45849,khasi hills,0,0,395,0,2384,0,0,0,2015
45850,ri bhoi,0,0,17,0,1225,0,0,0,2021
45851,garo hills,1,0,101,14,2861,0,0,0,2014
45852,garo hills,0,0,37,0,2700,0,0,27,2016
45853,khasi hills,0,0,70,0,1574,0,0,0,2021
45854,khasi hills,0,0,175,0,0,0,0,0,2015
45855,khasi hills,0,0,17,0,175,0,0,0,2019
45856,garo hills,0,0,42,0,4200,0,0,42,2014
45857,khasi hills,0,1,232,0,3354,0,0,0,2020
45858,garo hills,0,0,81,0,1500,0,0,0,2015
45859,garo hills,2,1,90,128,6614,1,0,52,2018
45860,ri bhoi,0,1,44,0,4168,0,1,40,2017
45861,khasi hills,0,0,61,0,2648,0,0,0,2015
45862,khasi hills,0,5,103,0,7028,0,0,4,2020
45863,garo hills,0,1,55,0,4540,0,0,7,2020
45864,ri bhoi,0,2,70,0,4299,0,0,0,2016
45865,garo hills,0,0,16,0,1600,0,0,16,2019
45866,khasi hills,0,0,11,0,0,0,0,0,2015
45867,garo hills,0,0,43,0,4200,0,0,42,2017
45868,garo hills,0,0,35,0,390,0,0,0,2014
45869,khasi hills,0,0,51,0,0,0,0,0,2014
45870,garo hills,0,0,151,0,6200,0,0,0,2019
45871,jaintia hills,0,1,493,0,13406,0,0,9,2016
45872,garo hills,0,1,43,0,4200,0,1,42,2021
45873,khasi hills,0,0,153,0,13968,0,0,139,2019
45874,garo hills,0,0,15,0,1050,0,0,0,2019
45875,khasi hills,0,0,74,0,1609,0,0,0,2018
45876,khasi hills,0,0,0,0,0,0,0,0,2020
45877,garo hills,0,196,196,0,6355,0,0,0,2019
45878,khasi hills,0,1,47,0,476,0,0,0,2017
45879,garo hills,0,0,25,0,840,0,0,0,2016
45880,jaintia hills,0,1,453,0,0,0,0,0,2017
45881,garo hills,0,0,113,0,9871,0,0,56,2019
45882,khasi hills,0,0,38,0,2557,0,0,0,2018
45883,jaintia hills,0,0,84,0,6463,0,0,0,2018
45884,garo hills,2,1,185,161,14649,0,0,0,2020
45885,garo hills,0,2,81,0,7332,0,0,0,2021
45886,garo hills,0,0,137,0,10670,0,0,106,2019
45887,garo hills,0,10,44,0,4400,0,10,44,2017
45888,ri bhoi,11,19,213,287,5417,0,0,0,2020
45889,garo hills,0,2,80,0,7881,0,2,78,2021
45890,garo hills,1,65,68,77,5019,0,0,0,2017
45891,khasi hills,0,7,65,0,3614,0,0,0,2018
45892,khasi hills,0,0,243,0,12719,0,0,0,2014
45893,khasi hills,0,5,309,0,19356,0,0,1,2016
45894,garo hills,0,1,88,0,8714,0,1,86,2020
45895,khasi hills,0,0,77,0,7700,0,0,77,2019
45896,khasi hills,0,0,93,0,6092,0,0,0,2018
45897,garo hills,0,0,56,0,3857,0,0,0,2015
45898,garo hills,0,1,30,0,2000,0,0,20,2018
45899,khasi hills,0,0,2,0,0,0,0,0,2016
45900,khasi hills,0,0,124,0,10690,0,0,39,2021
45901,khasi hills,0,0,112,0,0,0,0,0,2015
45902,khasi hills,0,0,88,0,7326,0,0,9,2018
45903,garo hills,0,0,45,0,4486,0,0,38,2020
45904,jaintia hills,0,0,323,0,4158,0,0,0,2016
45905,garo hills,3,6,147,300,14400,3,6,144,2021
45906,ri bhoi,1,54,387,0,2257,0,0,1,2021
45907,garo hills,0,3,26,0,2600,0,3,26,2019
45908,garo hills,0,0,27,0,2200,0,0,22,2020
45909,garo hills,0,7,66,0,6550,0,7,65,2017
45910,garo hills,0,1,165,0,6632,0,0,0,2015
45911,garo hills,0,0,116,0,11484,0,0,0,2021
45912,ri bhoi,0,1,83,0,5357,0,0,36,2020
45913,khasi hills,0,0,63,0,3170,0,0,0,2018
45914,khasi hills,0,0,233,0,12519,0,0,0,2021
45915,garo hills,0,10,33,0,2000,0,0,0,2015
45916,ri bhoi,0,2,56,0,2826,0,0,0,2014
45917,khasi hills,0,0,8,0,0,0,0,0,2014
45918,khasi hills,0,0,61,0,1833,0,0,0,2015
45919,khasi hills,0,0,19,0,1150,0,0,0,2015
45920,garo hills,0,1,39,0,2173,0,0,0,2018
45921,khasi hills,0,1,36,0,2063,0,0,0,2019
45922,jaintia hills,0,0,149,0,0,0,0,0,2017
45923,khasi hills,0,0,55,0,4606,0,0,0,2015
45924,jaintia hills,0,0,435,0,16962,0,0,0,2018
45925,jaintia hills,0,0,0,0,0,0,0,0,2014
45926,garo hills,0,1,28,0,2700,0,1,27,2018
45927,garo hills,0,0,24,0,471,0,0,0,2015
45928,khasi hills,0,0,70,0,4878,0,0,15,2018
45929,garo hills,1,153,154,84,12216,0,0,0,2017
45930,garo hills,0,0,24,0,2396,0,0,23,2018
45931,khasi hills,0,0,76,0,837,0,0,0,2019
45932,ri bhoi,0,0,233,0,8146,0,0,2,2015
45933,jaintia hills,0,0,50,0,974,0,0,0,2014
45934,garo hills,0,0,79,0,1894,0,0,0,2021
45935,khasi hills,0,0,73,0,7000,0,0,64,2017
45936,khasi hills,0,0,64,0,4456,0,0,3,2020
45937,khasi hills,0,16,369,0,7530,0,0,0,2016
45938,khasi hills,0,0,0,0,0,0,0,0,2014
45939,khasi hills,0,0,101,0,4699,0,0,1,2021
45940,khasi hills,0,1,139,0,12878,0,0,123,2021
45941,garo hills,0,1,36,0,3431,0,1,31,2017
45942,garo hills,0,1,48,0,3600,0,0,0,2015
45943,khasi hills,0,0,130,0,6884,0,0,6,2020
45944,khasi hills,0,0,138,0,12060,0,0,120,2017
45945,khasi hills,0,0,39,0,1983,0,0,0,2018
45946,jaintia hills,0,1,581,0,0,0,0,44,2014
45947,garo hills,0,3,49,0,1622,0,0,0,2014
45948,garo hills,0,3,41,0,2253,0,0,0,2021
45949,ri bhoi,0,0,36,0,1656,0,0,0,2018
45950,garo hills,0,2,95,0,3902,0,0,0,2017
45951,khasi hills,0,0,245,0,4800,0,0,67,2015
45952,garo hills,0,4,65,0,3080,0,0,0,2019
45953,garo hills,0,7,40,0,3429,0,2,11,2017
45954,ri bhoi,0,1,114,0,11199,0,1,110,2017
45955,khasi hills,0,0,149,0,3807,0,0,0,2021
45956,garo hills,0,0,103,0,10280,0,0,102,2019
45957,khasi hills,0,5,87,0,2064,0,0,0,2014
45958,khasi hills,0,0,116,0,5800,0,0,0,2018
45959,garo hills,0,1,60,0,5900,0,1,59,2019
45960,garo hills,0,0,59,0,5899,0,0,58,2021
45961,garo hills,0,0,55,0,2100,0,0,0,2019
45962,garo hills,0,0,61,0,5856,0,0,44,2021
45963,garo hills,0,1,91,0,8794,0,1,87,2018
45964,garo hills,0,2,141,0,12524,0,1,115,2017
45965,garo hills,0,4,84,0,4322,0,2,37,2020
45966,garo hills,1,3,40,64,1920,0,0,0,2021
45967,garo hills,0,0,72,0,5576,0,0,0,2017
45968,garo hills,0,2,52,0,2910,0,0,0,2016
45969,garo hills,0,0,19,0,933,0,0,0,2014
45970,khasi hills,0,0,26,0,0,0,0,0,2017
45971,khasi hills,0,0,74,0,1213,0,0,0,2020
45972,jaintia hills,0,0,45,0,0,0,0,0,2017
45973,khasi hills,0,0,74,0,3266,0,0,0,2015
45974,garo hills,0,0,57,0,0,0,0,0,2016
45975,garo hills,0,3,204,0,9265,0,0,0,2018
45976,garo hills,0,0,166,0,12600,0,0,125,2021
45977,garo hills,0,0,50,0,3670,0,0,10,2017
45978,garo hills,0,1,23,0,2292,0,1,21,2019
45979,khasi hills,0,0,28,0,1772,0,0,16,2020
45980,garo hills,0,2,98,0,6358,0,0,0,2014
45981,jaintia hills,0,0,55,0,5010,0,0,37,2019
45982,khasi hills,0,0,153,0,7688,0,0,22,2019
45983,jaintia hills,0,0,385,0,8548,0,0,0,2017
45984,garo hills,130,4,153,6063,7144,0,0,0,2014
45985,garo hills,0,0,91,0,7987,0,0,0,2016
45986,jaintia hills,0,0,93,0,3172,0,0,3,2020
45987,garo hills,0,1,74,0,7280,0,1,71,2020
45988,garo hills,0,0,32,0,804,0,0,0,2019
45989,khasi hills,0,0,99,0,4197,0,0,1,2020
45990,garo hills,0,1,103,0,9407,0,0,0,2019
45991,garo hills,0,3,42,0,2156,0,0,0,2015
45992,garo hills,0,3,153,0,7376,0,0,0,2015
45993,ri bhoi,0,1,67,0,2004,0,0,0,2014
45994,khasi hills,4,53,137,42,4644,0,0,0,2017
45995,garo hills,0,2,161,0,11400,0,2,114,2019
45996,khasi hills,0,0,40,0,3627,0,0,0,2019
45997,khasi hills,0,0,9,0,900,0,0,9,2018
45998,khasi hills,0,0,151,0,5706,0,0,9,2018
45999,ri bhoi,0,0,145,0,4164,0,0,0,2018
46000,khasi hills,0,0,44,0,2561,0,0,3,2018
46001,garo hills,0,1,32,0,1536,0,0,0,2014
46002,ri bhoi,0,0,56,0,2119,0,0,0,2018
46003,khasi hills,0,0,75,0,2973,0,0,0,2021
46004,khasi hills,0,0,27,0,923,0,0,0,2021
46005,garo hills,0,1,50,0,4500,0,1,45,2020
46006,garo hills,0,0,51,0,2280,0,0,0,2015
46007,garo hills,0,1,38,0,1960,0,0,0,2016
46008,khasi hills,0,1,201,0,10861,0,0,0,2017
46009,garo hills,1,0,31,5,162,0,0,0,2018
46010,khasi hills,0,0,19,0,1727,0,0,12,2018
46011,garo hills,0,2,66,0,3172,0,0,0,2020
46012,garo hills,0,0,95,0,7028,0,0,0,2020
46013,garo hills,0,0,51,0,5037,0,0,49,2020
46014,khasi hills,0,0,270,0,14396,0,0,24,2018
46015,khasi hills,0,0,40,0,1390,0,0,0,2014
46016,khasi hills,0,0,75,0,0,0,0,0,2014
46017,khasi hills,0,0,24,0,700,0,0,0,2015
46018,khasi hills,0,0,37,0,1066,0,0,0,2019
46019,garo hills,0,0,28,0,1960,0,0,0,2015
46020,garo hills,1,1,36,0,2072,0,0,0,2014
46021,jaintia hills,1,2,323,0,3750,0,0,0,2017
46022,garo hills,0,0,24,0,2368,0,0,23,2017
46023,jaintia hills,0,0,339,0,15600,0,0,1,2018
46024,garo hills,0,192,192,0,4970,0,0,0,2017
46025,garo hills,0,0,46,0,4641,0,0,0,2019
46026,garo hills,0,1,139,0,10514,0,0,0,2015
46027,khasi hills,0,0,89,0,1013,0,0,39,2014
46028,khasi hills,0,0,68,0,3664,0,0,139,2014
46029,khasi hills,0,0,14,0,1400,0,0,0,2015
46030,garo hills,0,0,30,0,3000,0,0,30,2018
46031,ri bhoi,0,89,94,0,5618,0,3,3,2015
46032,garo hills,0,2,64,0,5247,0,2,52,2021
46033,ri bhoi,0,2,65,0,3696,0,0,0,2017
46034,garo hills,0,0,19,0,1020,0,0,0,2015
46035,khasi hills,0,0,0,0,0,0,0,0,2017
46036,khasi hills,5,3,67,127,1650,0,0,0,2016
46037,garo hills,0,0,45,0,3360,0,0,0,2017
46038,garo hills,0,0,23,0,1380,0,0,0,2015
46039,khasi hills,0,0,41,0,3910,0,0,39,2021
46040,garo hills,0,1,63,0,4717,0,1,43,2020
46041,khasi hills,0,1,91,0,9100,0,1,91,2019
46042,garo hills,0,289,289,0,17369,0,0,0,2015
46043,khasi hills,0,0,74,0,5040,0,0,27,2020
46044,khasi hills,0,0,129,0,12893,0,0,128,2016
46045,garo hills,0,0,39,0,1968,0,0,0,2021
46046,khasi hills,0,0,159,0,9793,0,0,0,2019
46047,khasi hills,0,0,93,0,9300,0,0,93,2017
46048,garo hills,0,1,112,0,9600,0,1,94,2021
46049,khasi hills,0,0,145,0,5675,0,0,3,2018
46050,garo hills,0,0,48,0,2498,0,0,0,2017
46051,garo hills,0,1,26,0,2500,0,1,25,2021
46052,khasi hills,0,0,44,0,1680,0,0,0,2015
46053,garo hills,0,0,0,0,0,0,0,0,2014
46054,jaintia hills,0,0,20,0,1785,0,0,0,2020
46055,garo hills,0,0,46,0,4470,0,0,50,2015
46056,ri bhoi,0,0,94,0,2852,0,0,0,2014
46057,khasi hills,0,0,21,0,2000,0,0,20,2018
46058,jaintia hills,0,0,588,0,19681,0,0,1,2021
46059,khasi hills,0,1,142,0,4505,0,0,0,2019
46060,garo hills,0,0,103,0,10200,0,0,101,2019
46061,jaintia hills,0,0,312,0,17504,0,0,1,2018
46062,garo hills,0,0,60,0,5836,0,0,58,2019
46063,garo hills,0,0,16,0,1248,0,0,0,2016
46064,khasi hills,0,0,141,0,11444,0,0,61,2020
46065,jaintia hills,0,0,1,0,0,0,0,0,2017
46066,jaintia hills,0,2,485,0,21168,0,0,0,2015
46067,garo hills,0,0,52,0,3696,0,0,3,2016
46068,jaintia hills,0,0,88,0,3544,0,0,0,2016
46069,garo hills,0,0,23,0,2335,0,0,22,2016
46070,khasi hills,0,0,29,0,1750,0,0,0,2014
46071,garo hills,0,0,69,0,4834,0,0,74,2015
46072,garo hills,0,0,40,0,3914,0,0,39,2018
46073,jaintia hills,0,2,441,0,9432,0,0,0,2018
46074,garo hills,0,0,19,0,1710,0,0,0,2018
46075,jaintia hills,0,8,277,0,148,0,0,0,2021
46076,khasi hills,0,0,65,0,5626,0,0,28,2017
46077,khasi hills,0,0,38,0,2108,0,0,0,2018
46078,garo hills,0,0,80,0,6844,0,0,63,2018
46079,garo hills,0,0,0,0,0,0,0,0,2016
46080,garo hills,8,3,80,403,3950,0,0,0,2020
46081,garo hills,0,0,13,0,1300,0,0,13,2021
46082,garo hills,0,2,72,0,5600,0,2,56,2021
46083,khasi hills,0,0,46,0,2632,0,0,0,2018
46084,garo hills,0,0,21,0,2052,0,0,19,2019
46085,garo hills,0,0,50,0,2450,0,0,0,2014
46086,garo hills,0,1,22,0,1232,0,0,0,2015
46087,khasi hills,0,0,72,0,2016,0,0,0,2015
46088,garo hills,0,0,22,0,972,0,0,0,2014
46089,khasi hills,0,0,20,0,1288,0,0,12,2021
46090,khasi hills,0,0,89,0,5232,0,0,6,2016
46091,garo hills,0,2,45,0,2638,0,1,25,2017
46092,khasi hills,0,0,20,0,1800,0,0,0,2014
46093,khasi hills,0,4,75,0,4320,0,0,0,2019
46094,ri bhoi,0,0,40,0,2486,0,0,0,2020
46095,khasi hills,0,0,218,0,13176,0,0,3,2019
46096,khasi hills,0,0,139,0,7725,0,0,0,2017
46097,khasi hills,0,0,13,0,0,0,0,0,2014
46098,garo hills,0,30,39,0,3420,0,0,0,2016
46099,garo hills,0,10,48,0,1612,0,0,0,2018
46100,garo hills,0,2,99,0,7760,0,0,0,2014
46101,khasi hills,0,0,168,0,6836,0,0,0,2015
46102,khasi hills,0,0,23,0,1489,0,0,3,2017
46103,garo hills,0,2,55,0,2164,0,0,0,2014
46104,garo hills,0,0,0,0,0,0,0,0,2016
46105,garo hills,0,0,79,0,0,0,0,0,2015
46106,khasi hills,0,1,83,0,5846,0,0,7,2020
46107,khasi hills,0,0,103,0,8424,0,0,63,2018
46108,garo hills,0,1,21,0,2093,0,1,20,2020
46109,garo hills,0,11,77,0,7694,0,10,75,2017
