,srcDistrictName,Number of Households issue Job Card Schedule Castes (SC),Number of Households issue Job Card Others,Total number of Households issue Job Card,Number of person days generated Scheduled Caste (SCs),Total number of person days generated,Families completed 100days Scheduled Caste (SCs),Families completed 100days Others,Total Families completed 100 days,YearCode
31713,ri bhoi,0,0,5,0,0,0,0,0,2014
31714,khasi hills,0,0,131,0,10900,0,0,109,2021
31715,khasi hills,0,0,88,0,4132,0,0,6,2017
31716,khasi hills,0,0,34,0,3037,0,0,0,2014
31717,ri bhoi,0,3,101,0,5487,0,0,12,2019
31718,garo hills,0,1,53,0,4346,0,0,0,2016
31719,garo hills,0,0,27,0,1066,0,0,0,2015
31720,garo hills,11,1,86,698,5328,0,0,0,2015
31721,khasi hills,0,0,47,0,1876,0,0,0,2021
31722,garo hills,0,0,19,0,1900,0,0,19,2018
31723,garo hills,0,0,30,0,2793,0,0,21,2019
31724,garo hills,0,0,47,0,2500,0,0,0,2015
31725,garo hills,0,0,34,0,2383,0,0,0,2018
31726,garo hills,0,3,84,0,4863,0,2,38,2020
31727,garo hills,0,0,91,0,5160,0,0,87,2014
31728,khasi hills,1,0,55,0,0,0,0,0,2014
31729,khasi hills,0,0,62,0,6096,0,0,59,2020
31730,garo hills,0,0,48,0,3139,0,0,0,2018
31731,ri bhoi,0,2,77,0,6700,0,2,67,2021
31732,khasi hills,0,0,59,0,540,0,0,0,2017
31733,garo hills,0,0,220,0,19292,0,0,0,2020
31734,khasi hills,0,0,55,0,3584,0,0,1,2021
31735,garo hills,0,2,22,0,700,0,0,0,2016
31736,garo hills,0,0,49,0,2010,0,0,0,2019
31737,khasi hills,0,0,62,0,1020,0,0,0,2016
31738,garo hills,3,13,228,195,14049,0,0,0,2016
31739,garo hills,0,16,83,0,8300,0,16,83,2018
31740,khasi hills,0,0,55,0,5100,0,0,51,2016
31741,garo hills,0,0,12,0,187,0,0,0,2014
31742,ri bhoi,0,0,50,0,0,0,0,0,2017
31743,garo hills,0,0,50,0,4950,0,0,0,2016
31744,khasi hills,0,0,110,0,8207,0,0,1,2020
31745,garo hills,0,0,17,0,1700,0,0,17,2021
31746,ri bhoi,0,1,41,0,2043,0,0,0,2018
31747,garo hills,0,0,70,0,3898,0,0,0,2015
31748,garo hills,1,1,121,25,11385,0,0,109,2020
31749,garo hills,0,1,129,0,12600,0,1,126,2020
31750,jaintia hills,0,0,21,0,525,0,0,0,2016
31751,garo hills,0,0,95,0,9500,0,0,0,2014
31752,garo hills,0,0,38,0,2970,0,0,0,2020
31753,garo hills,0,0,24,0,2350,0,0,0,2016
31754,khasi hills,0,0,8,0,294,0,0,0,2015
31755,jaintia hills,0,2,144,0,6738,0,0,0,2016
31756,khasi hills,0,0,79,0,4610,0,0,1,2018
31757,khasi hills,0,1,55,0,1722,0,0,0,2019
31758,garo hills,0,0,46,0,4502,0,0,39,2017
31759,garo hills,81,59,140,5559,9746,0,0,0,2016
